date,season,team,competition,opponent,venue,goals_for,goals_against,xg_for,xg_against,possession,opp_ppda,opp_ppda_pre,opp_line_height_pre,opp_strength
2023-08-10,2023-24,Brighton,League,Opponent 00,H,1,1,2.57,1.26,59.1,13.0,11.96,40.8,1.115
2023-08-17,2023-24,Brighton,League,Opponent 01,A,0,2,0.73,1.82,49.0,9.27,11.78,38.9,-0.026
2023-08-24,2023-24,Brighton,League,Opponent 02,H,2,1,1.83,1.03,60.3,14.28,9.98,42.0,0.348
2023-08-31,2023-24,Brighton,League,Opponent 03,A,2,0,1.35,1.82,58.5,16.33,12.45,40.7,0.092
2023-09-07,2023-24,Brighton,League,Opponent 04,H,0,2,1.66,0.6,56.7,12.86,10.28,43.9,0.367
2023-09-14,2023-24,Brighton,League,Opponent 05,A,3,1,2.71,0.47,58.4,8.83,7.24,36.1,-0.719
2023-09-21,2023-24,Brighton,League,Opponent 06,H,2,0,1.93,0.68,65.3,11.34,12.67,38.6,0.345
2023-09-28,2023-24,Brighton,League,Opponent 07,A,1,1,1.04,1.58,66.6,9.9,11.33,42.5,1.455
2023-10-05,2023-24,Brighton,League,Opponent 08,H,3,1,1.57,1.52,44.8,7.08,6.0,43.6,1.148
2023-10-12,2023-24,Brighton,League,Opponent 09,A,2,2,1.41,1.46,73.1,12.17,12.39,41.8,0.385
2023-10-19,2023-24,Brighton,League,Opponent 10,H,2,1,1.85,1.09,65.3,11.88,11.13,39.6,0.334
2023-10-26,2023-24,Brighton,League,Opponent 11,A,5,1,2.08,0.82,72.1,9.31,11.47,37.3,-0.9
2023-11-02,2023-24,Brighton,League,Opponent 12,H,0,1,1.76,0.58,61.0,18.41,15.03,35.1,0.235
2023-11-09,2023-24,Brighton,League,Opponent 13,A,3,0,2.1,0.65,55.2,7.51,6.56,47.1,0.242
2023-11-16,2023-24,Brighton,League,Opponent 14,H,1,0,1.27,1.21,66.2,16.66,11.59,37.3,-1.034
2023-11-23,2023-24,Brighton,League,Opponent 15,A,2,1,1.76,1.03,57.0,20.96,11.08,42.7,-0.441
2023-11-30,2023-24,Brighton,League,Opponent 16,H,0,0,1.69,0.87,59.2,4.24,6.16,44.9,-0.405
2023-12-07,2023-24,Brighton,League,Opponent 17,A,3,2,1.36,1.88,55.5,24.48,16.13,38.4,0.699
2023-12-14,2023-24,Brighton,League,Opponent 18,H,4,1,2.17,1.32,57.2,8.32,12.47,41.8,-1.104
2023-12-21,2023-24,Brighton,League,Opponent 19,A,1,0,1.43,1.29,64.0,17.59,9.69,35.4,0.482
2023-12-28,2023-24,Brighton,League,Opponent 20,H,4,1,2.07,1.44,64.5,10.67,11.97,40.7,0.42
2024-01-04,2023-24,Brighton,League,Opponent 21,A,0,1,0.69,1.97,67.9,9.38,11.79,40.6,-0.425
2024-01-11,2023-24,Brighton,League,Opponent 22,H,2,1,1.94,1.48,53.4,13.74,13.78,39.0,-0.201
2024-01-18,2023-24,Brighton,League,Opponent 23,A,1,1,0.86,1.51,56.4,11.15,8.41,44.0,0.702
2024-01-25,2023-24,Brighton,League,Opponent 24,H,0,1,2.48,0.82,77.1,7.36,7.26,42.2,-2.281
2024-02-01,2023-24,Brighton,League,Opponent 25,A,0,1,1.99,1.34,59.5,14.17,10.53,43.2,0.549
2024-02-08,2023-24,Brighton,League,Opponent 26,H,5,1,2.82,0.38,69.6,5.04,6.35,46.0,-1.021
2024-02-15,2023-24,Brighton,League,Opponent 27,A,0,0,1.79,1.51,66.2,8.07,12.6,42.0,0.855
2024-02-22,2023-24,Brighton,League,Opponent 28,H,2,0,2.58,0.96,71.5,7.31,9.61,39.3,0.084
2024-02-29,2023-24,Brighton,League,Opponent 29,A,1,4,1.82,1.9,58.5,9.25,11.15,38.0,0.397
2024-03-07,2023-24,Brighton,League,Opponent 30,H,2,2,2.18,1.22,51.2,13.5,12.28,42.2,-1.25
2024-03-14,2023-24,Brighton,League,Opponent 31,A,0,2,1.33,1.76,47.4,11.75,13.75,39.4,1.287
2024-03-21,2023-24,Brighton,League,Opponent 32,H,0,2,1.22,1.59,61.0,5.89,10.0,43.5,0.311
2024-03-28,2023-24,Brighton,League,Opponent 33,A,2,0,1.83,0.1,64.8,9.17,11.07,42.0,-1.862
2024-04-04,2023-24,Brighton,League,Opponent 34,H,3,1,2.23,1.53,75.5,12.6,10.18,46.9,-0.894
2024-04-11,2023-24,Brighton,League,Opponent 35,A,1,0,1.95,1.06,58.7,14.93,13.42,39.0,-0.707
2024-04-18,2023-24,Brighton,League,Opponent 36,H,1,0,1.94,1.09,55.7,11.44,12.67,37.7,-1.937
2024-04-25,2023-24,Brighton,League,Opponent 37,A,1,0,2.13,0.9,54.7,10.3,10.88,42.9,-0.585
2024-08-10,2024-25,Marseille,League,Opponent 00,H,0,1,1.26,1.3,52.3,6.19,11.56,44.4,-0.028
2024-08-17,2024-25,Marseille,League,Opponent 01,A,3,0,1.95,0.92,62.3,9.83,8.92,42.0,-1.704
2024-08-24,2024-25,Marseille,League,Opponent 02,H,1,1,2.48,0.43,55.3,11.74,10.63,47.1,0.103
2024-08-31,2024-25,Marseille,League,Opponent 03,A,1,0,2.26,0.95,66.4,7.6,9.44,46.2,0.556
2024-09-07,2024-25,Marseille,League,Opponent 04,H,1,0,1.79,1.37,72.8,10.71,9.57,42.6,0.119
2024-09-14,2024-25,Marseille,League,Opponent 05,A,0,0,0.86,2.11,60.6,15.94,15.12,39.6,1.165
2024-09-21,2024-25,Marseille,League,Opponent 06,H,4,2,1.53,1.61,59.4,17.22,12.23,44.6,0.886
2024-09-28,2024-25,Marseille,League,Opponent 07,A,2,1,2.08,0.97,64.3,13.79,16.61,37.5,-0.484
2024-10-05,2024-25,Marseille,League,Opponent 08,H,2,2,1.76,1.48,56.5,12.45,11.09,41.1,0.924
2024-10-12,2024-25,Marseille,League,Opponent 09,A,5,1,1.86,0.58,67.2,16.08,11.57,43.7,-1.531
2024-10-19,2024-25,Marseille,League,Opponent 10,H,2,1,1.97,1.36,61.2,12.94,11.88,43.6,-0.11
2024-10-26,2024-25,Marseille,League,Opponent 11,A,2,1,1.45,2.13,60.6,9.4,10.06,45.0,0.67
2024-11-02,2024-25,Marseille,League,Opponent 12,H,3,1,2.02,1.23,63.2,16.89,12.55,41.8,-0.337
2024-11-09,2024-25,Marseille,League,Opponent 13,A,3,2,1.87,1.52,55.7,8.06,9.75,44.5,0.203
2024-11-16,2024-25,Marseille,League,Opponent 14,H,3,0,1.87,0.63,55.9,10.02,9.66,44.7,-0.859
2024-11-23,2024-25,Marseille,League,Opponent 15,A,2,0,1.99,0.83,57.7,12.66,11.3,43.1,0.411
2024-11-30,2024-25,Marseille,League,Opponent 16,H,0,0,1.21,1.15,47.9,15.03,10.81,41.6,1.445
2024-12-07,2024-25,Marseille,League,Opponent 17,A,1,1,1.43,1.74,53.3,6.48,9.53,47.5,2.809
2024-12-14,2024-25,Marseille,League,Opponent 18,H,3,2,1.94,1.13,58.1,13.67,10.31,40.8,0.653
2024-12-21,2024-25,Marseille,League,Opponent 19,A,2,2,1.59,0.87,50.5,11.77,12.5,42.4,0.614
2024-12-28,2024-25,Marseille,League,Opponent 20,H,0,0,1.69,0.92,57.2,9.28,11.2,45.2,0.102
2025-01-04,2024-25,Marseille,League,Opponent 21,A,4,2,1.61,1.3,73.1,10.64,10.54,41.6,-0.236
2025-01-11,2024-25,Marseille,League,Opponent 22,H,1,0,1.14,1.64,44.0,10.0,11.01,47.1,-0.089
2025-01-18,2024-25,Marseille,League,Opponent 23,A,1,3,1.35,1.43,63.7,10.09,13.58,40.5,1.019
2025-01-25,2024-25,Marseille,League,Opponent 24,H,1,0,2.08,1.9,54.2,7.78,10.36,38.0,-0.363
2025-02-01,2024-25,Marseille,League,Opponent 25,A,1,1,1.23,1.46,65.1,13.26,10.71,39.2,-1.908
2025-02-08,2024-25,Marseille,League,Opponent 26,H,2,2,1.9,1.25,52.8,20.4,12.58,40.7,-0.8
2025-02-15,2024-25,Marseille,League,Opponent 27,A,0,0,0.75,1.72,64.5,7.73,7.93,41.7,1.96
2025-02-22,2024-25,Marseille,League,Opponent 28,H,4,0,2.75,0.37,55.8,5.92,9.31,41.2,-0.651
2025-03-01,2024-25,Marseille,League,Opponent 29,A,1,0,2.75,0.42,66.4,9.61,8.01,48.4,-2.25
2025-03-08,2024-25,Marseille,League,Opponent 30,H,2,1,1.18,1.35,57.9,12.48,12.4,42.6,-0.577
2025-03-15,2024-25,Marseille,League,Opponent 31,A,1,4,1.53,2.14,67.2,15.98,12.55,45.4,0.571
2025-03-22,2024-25,Marseille,League,Opponent 32,H,1,0,1.63,1.68,50.4,11.56,9.01,44.5,1.517
2025-03-29,2024-25,Marseille,League,Opponent 33,A,3,3,1.31,1.35,59.4,13.07,12.99,39.1,0.097
2025-04-05,2024-25,Marseille,League,Opponent 34,H,2,1,1.68,0.46,60.3,14.96,15.05,39.9,-0.6
2025-04-12,2024-25,Marseille,League,Opponent 35,A,3,0,0.77,1.38,50.9,10.26,13.06,40.9,2.004
2025-04-19,2024-25,Marseille,League,Opponent 36,H,2,0,1.38,0.63,65.1,4.47,6.0,47.8,0.053
2025-04-26,2024-25,Marseille,League,Opponent 37,A,3,1,2.19,0.73,61.5,6.3,9.31,44.6,0.805
2025-08-10,2025-26,Marseille,League,Opponent 00,H,0,1,1.39,0.86,56.2,13.01,11.73,36.6,0.967
2025-08-17,2025-26,Marseille,League,Opponent 01,A,1,3,1.09,1.59,73.4,10.14,12.17,43.0,1.859
2025-08-24,2025-26,Marseille,League,Opponent 02,H,1,3,1.23,1.91,61.2,9.76,10.73,41.5,0.916
2025-08-31,2025-26,Marseille,League,Opponent 03,A,0,4,1.76,0.79,54.6,4.46,6.67,48.1,0.916
2025-09-07,2025-26,Marseille,League,Opponent 04,H,3,1,2.16,1.43,61.3,16.28,11.91,42.9,-0.024
2025-09-14,2025-26,Marseille,League,Opponent 05,A,1,1,2.2,0.59,58.6,11.31,11.84,38.6,-1.087
2025-09-21,2025-26,Marseille,League,Opponent 06,H,1,2,1.7,1.1,56.0,8.5,7.48,48.4,0.576
2025-09-28,2025-26,Marseille,League,Opponent 07,A,1,1,1.76,0.9,70.1,15.7,16.57,32.8,-0.419
2025-10-05,2025-26,Marseille,League,Opponent 08,H,1,0,1.68,1.65,61.9,11.19,11.98,45.4,-0.209
2025-10-12,2025-26,Marseille,League,Opponent 09,A,3,0,1.74,1.09,64.4,6.24,8.83,38.8,-0.929
2025-10-19,2025-26,Marseille,League,Opponent 10,H,1,2,2.02,0.86,72.0,15.35,10.64,43.2,1.439
2025-10-26,2025-26,Marseille,League,Opponent 11,A,2,3,1.78,1.61,72.8,11.72,16.75,37.7,-0.114
2025-11-02,2025-26,Marseille,League,Opponent 12,H,0,0,1.29,1.63,65.2,7.83,11.27,45.2,-1.768
2025-11-09,2025-26,Marseille,League,Opponent 13,A,1,1,1.69,1.44,65.1,16.57,15.26,39.9,-0.391
2025-11-16,2025-26,Marseille,League,Opponent 14,H,3,2,1.36,1.5,55.1,13.17,9.46,43.2,0.179
2025-11-23,2025-26,Marseille,League,Opponent 15,A,1,1,2.17,1.63,44.3,6.35,10.47,43.9,0.33
2025-11-30,2025-26,Marseille,League,Opponent 16,H,5,0,1.52,0.71,74.2,11.05,11.53,39.4,-1.682
2025-12-07,2025-26,Marseille,League,Opponent 17,A,0,0,2.12,0.42,68.6,15.13,12.54,42.4,-2.135
2025-12-14,2025-26,Marseille,League,Opponent 18,H,3,0,2.57,0.52,63.2,9.96,8.67,48.4,-1.687
2025-12-21,2025-26,Marseille,League,Opponent 19,A,1,0,1.46,0.99,54.7,8.67,7.08,43.0,0.396
2025-12-28,2025-26,Marseille,League,Opponent 20,H,2,1,1.38,1.24,54.7,10.08,10.02,43.2,-0.146
2026-01-04,2025-26,Marseille,League,Opponent 21,A,2,1,1.36,1.65,50.5,13.6,11.85,41.3,-0.22
2026-01-11,2025-26,Marseille,League,Opponent 22,H,3,2,2.1,0.51,45.7,11.6,10.7,37.4,-0.703
2026-01-18,2025-26,Marseille,League,Opponent 23,A,1,1,2.07,1.43,58.9,15.69,14.94,35.6,0.239
2026-01-25,2025-26,Marseille,League,Opponent 24,H,2,2,1.86,1.17,58.9,11.6,10.04,43.6,-0.218
2026-02-01,2025-26,Marseille,League,Opponent 25,A,1,1,1.56,0.5,61.2,10.48,12.9,44.0,0.047
2026-02-08,2025-26,Marseille,League,Opponent 26,H,4,1,1.34,2.05,67.2,7.55,10.96,42.9,0.146
2026-02-15,2025-26,Marseille,League,Opponent 27,A,0,3,1.38,1.42,58.6,11.79,10.7,45.7,0.053
2026-02-22,2025-26,Marseille,League,Opponent 28,H,2,2,1.6,1.36,80.0,10.82,12.88,40.9,-1.76
2026-03-01,2025-26,Marseille,League,Opponent 29,A,3,0,1.46,0.9,63.4,5.42,7.0,45.6,-0.089
2026-03-08,2025-26,Marseille,League,Opponent 30,H,2,1,1.57,1.53,66.1,9.96,14.07,37.6,-0.538
2026-03-15,2025-26,Marseille,League,Opponent 31,A,0,1,2.4,0.1,58.3,8.16,7.88,45.7,-0.532
2026-03-22,2025-26,Marseille,League,Opponent 32,H,4,3,2.53,0.88,63.8,13.49,11.59,47.2,-2.325
2026-03-29,2025-26,Marseille,League,Opponent 33,A,2,2,2.64,0.81,59.4,13.51,13.62,35.7,-1.338
2026-04-05,2025-26,Marseille,League,Opponent 34,H,1,0,1.42,1.5,67.0,10.7,7.4,43.3,-0.214
2026-04-12,2025-26,Marseille,League,Opponent 35,A,1,2,1.73,1.39,53.1,6.7,7.72,46.6,0.507
2026-04-19,2025-26,Marseille,League,Opponent 36,H,3,2,1.24,1.79,72.6,15.52,12.57,45.9,1.099
2026-04-26,2025-26,Marseille,League,Opponent 37,A,3,2,1.41,2.27,63.3,18.46,18.02,35.0,-0.918
